Spectral_Type,Object_Name,Source_Designation,SpeX_Classification,Wavelength_um,Normalized_Flux,Telluric_Region,Normalization_Region
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.37136,0.594604221155696,True,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.37565,0.6279918051966286,True,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.37995,0.6785853564687468,True,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.38423,0.6831104374548271,True,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.38852,0.6402164135255853,True,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.3928,0.6401241179926891,True,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.39708,0.6825865628103599,True,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.40136,0.6886780679815097,True,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.40563,0.6123626616471763,True,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.4099,0.6275056287275695,True,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.41416,0.6136859975977162,True,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.41842,0.6143502654471523,True,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.42268,0.5883567235345809,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.42694,0.5866161077803834,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.43119,0.5786097952859082,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.43543,0.5903313279637266,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.43967,0.5748334780596619,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.44391,0.5787358891829635,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.44815,0.5836535511681235,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.45238,0.599059105539292,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.4566,0.5980334551807692,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.46082,0.5920017471154396,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.46504,0.6118335872543769,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.46925,0.6018643697645034,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.47345,0.579899332872289,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.47765,0.5863886187908505,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.48185,0.589136685784408,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.48604,0.6091973148499612,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.49023,0.5889988924536053,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.49441,0.605739482209061,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.49858,0.620409272191226,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.50275,0.6270779494272477,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.50692,0.6168552442061804,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.51108,0.6319098155649266,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.51523,0.6307346724418538,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.51938,0.6422417155009698,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.52352,0.651454369608511,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.52766,0.6566203195765326,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.53179,0.6655430877145546,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.53591,0.6745009541538189,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.54003,0.6788791422495151,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.54415,0.6913403391275862,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.54825,0.6927338716806106,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.55236,0.6953792436446076,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.55645,0.7002969056297674,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.56054,0.7139462450017419,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.56462,0.7124968151541465,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.5687,0.7289670179963289,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.57277,0.7138448499092643,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.57684,0.731556492665755,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.5809,0.7255312842858406,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.58495,0.7070825772032634,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.589,0.7165279200486696,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.59304,0.7073373648715402,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.59707,0.7081290265551147,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.6011,0.7183738307065938,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.60512,0.727183504318391,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.60913,0.725835469563273,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.61314,0.7136420597243093,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.61714,0.7113645699548142,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.62114,0.6999290234352656,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.62513,0.7146443112153371,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.62911,0.7123460224525133,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.63308,0.7059711309972597,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.63705,0.7029968749512524,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.64102,0.7142322311600118,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.64497,0.7223620376773764,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.64892,0.7394354113260918,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.65287,0.7226597232693938,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.6568,0.748792358449851,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.66073,0.748276283427882,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.66466,0.7381250747463822,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.66857,0.7281805560610867,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.67248,0.7446312598470234,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.67639,0.7217978649833348,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.68028,0.7271393064575674,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.68417,0.7292452045321006,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.68806,0.7281753563127544,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.69193,0.7303891491651804,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.69581,0.7444492686553971,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.69967,0.7270288118055086,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.70353,0.7403011694234,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.70738,0.733429702002423,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.71122,0.7217562669966773,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.71506,0.6981624089394073,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.71889,0.7090207833940837,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.72272,0.6842140840383325,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.72654,0.6729605287104105,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.73035,0.662792420846831,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.73416,0.6467966950399601,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.73796,0.6347267792238855,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.74175,0.6288315645522756,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.74554,0.6222902811503923,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.74932,0.6069380241996287,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.75309,0.5951306956743293,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.75686,0.5855800579251964,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.76062,0.5746761856726135,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.76437,0.5636826177613004,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.76812,0.5582007830820989,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.77187,0.5562898755700224,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.7756,0.4803462512414399,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.77933,0.5281280386029316,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.78306,0.5107582792992819,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.78677,0.5006473686673565,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.79049,0.4879885813526625,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.79419,0.45459189775214875,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.79789,0.4818502784465231,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.80158,0.48570719177191823,True,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.80527,0.4352956316914261,True,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.80895,0.4582174222767618,True,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.81263,0.4457835240774346,True,False
